epoch: 0	train ppl: 34146.34768334554	val ppl: 1693.5869506056777	best val: 1693.5869506056777	time (s) spent in epoch: 79.794992685318
epoch: 1	train ppl: 1535.4115384298984	val ppl: 673.2746213565399	best val: 673.2746213565399	time (s) spent in epoch: 79.75424385070801
epoch: 2	train ppl: 544.0863154119481	val ppl: 374.4208890643418	best val: 374.4208890643418	time (s) spent in epoch: 80.52825546264648
epoch: 3	train ppl: 382.8082537759705	val ppl: 382.44976858913816	best val: 374.4208890643418	time (s) spent in epoch: 86.28883719444275
epoch: 4	train ppl: 293.73788280165866	val ppl: 310.24415208404235	best val: 310.24415208404235	time (s) spent in epoch: 80.88990521430969
epoch: 5	train ppl: 241.73941820594027	val ppl: 272.69453120190616	best val: 272.69453120190616	time (s) spent in epoch: 80.23703813552856
epoch: 6	train ppl: 212.951591551193	val ppl: 217.10198670829624	best val: 217.10198670829624	time (s) spent in epoch: 80.48226571083069
epoch: 7	train ppl: 186.22259461292333	val ppl: 197.25121164844785	best val: 197.25121164844785	time (s) spent in epoch: 84.21886920928955
epoch: 8	train ppl: 164.30413599319107	val ppl: 188.63408954590784	best val: 188.63408954590784	time (s) spent in epoch: 83.8661253452301
epoch: 9	train ppl: 145.6848544868577	val ppl: 174.37326283341693	best val: 174.37326283341693	time (s) spent in epoch: 79.91757225990295
epoch: 10	train ppl: 134.30989919927003	val ppl: 185.1347706336204	best val: 174.37326283341693	time (s) spent in epoch: 80.08528470993042
epoch: 11	train ppl: 122.04193374403161	val ppl: 175.83043120921593	best val: 174.37326283341693	time (s) spent in epoch: 79.81984257698059
epoch: 12	train ppl: 114.226387809051	val ppl: 193.5440219679677	best val: 174.37326283341693	time (s) spent in epoch: 86.4061872959137
epoch: 13	train ppl: 104.76469044636204	val ppl: 158.41423450933263	best val: 158.41423450933263	time (s) spent in epoch: 80.97125840187073
epoch: 14	train ppl: 96.79561465528732	val ppl: 185.80342225278054	best val: 158.41423450933263	time (s) spent in epoch: 80.44248270988464
epoch: 15	train ppl: 78.43956810083338	val ppl: 152.96981339514736	best val: 152.96981339514736	time (s) spent in epoch: 80.84840154647827
epoch: 16	train ppl: 63.814741379674544	val ppl: 155.90845030817002	best val: 152.96981339514736	time (s) spent in epoch: 84.02909874916077
epoch: 17	train ppl: 52.71109360470629	val ppl: 158.33853405780442	best val: 152.96981339514736	time (s) spent in epoch: 82.85017991065979
epoch: 18	train ppl: 45.384903093210966	val ppl: 162.97417312277778	best val: 152.96981339514736	time (s) spent in epoch: 80.22572255134583
epoch: 19	train ppl: 40.94591244035912	val ppl: 166.68682378170865	best val: 152.96981339514736	time (s) spent in epoch: 80.41436457633972
epoch: 20	train ppl: 38.57545502873302	val ppl: 167.44253080361617	best val: 152.96981339514736	time (s) spent in epoch: 79.38411474227905
epoch: 21	train ppl: 37.400353070532795	val ppl: 167.30646266538182	best val: 152.96981339514736	time (s) spent in epoch: 87.74928736686707
epoch: 22	train ppl: 36.874199390041305	val ppl: 165.53010529705614	best val: 152.96981339514736	time (s) spent in epoch: 81.08659291267395
epoch: 23	train ppl: 36.71541597857993	val ppl: 164.2916448322313	best val: 152.96981339514736	time (s) spent in epoch: 80.68790793418884
epoch: 24	train ppl: 36.62477893536294	val ppl: 164.01201493040477	best val: 152.96981339514736	time (s) spent in epoch: 80.40569114685059
epoch: 25	train ppl: 36.633053237663496	val ppl: 163.94957292558922	best val: 152.96981339514736	time (s) spent in epoch: 85.84891033172607
epoch: 26	train ppl: 36.573448893810294	val ppl: 163.9383772090759	best val: 152.96981339514736	time (s) spent in epoch: 81.52575635910034
epoch: 27	train ppl: 36.58121715363253	val ppl: 163.93682494564226	best val: 152.96981339514736	time (s) spent in epoch: 80.74244046211243
epoch: 28	train ppl: 36.616598684745504	val ppl: 163.9366993134534	best val: 152.96981339514736	time (s) spent in epoch: 80.92837953567505
epoch: 29	train ppl: 36.589754690933574	val ppl: 163.9366937298028	best val: 152.96981339514736	time (s) spent in epoch: 84.46756935119629
epoch: 30	train ppl: 36.56457375337198	val ppl: 163.9366993134534	best val: 152.96981339514736	time (s) spent in epoch: 82.30341815948486
epoch: 31	train ppl: 36.60218035018672	val ppl: 163.93670210527875	best val: 152.96981339514736	time (s) spent in epoch: 80.52347803115845
epoch: 32	train ppl: 36.57476856050518	val ppl: 163.93670210527875	best val: 152.96981339514736	time (s) spent in epoch: 80.33393907546997
epoch: 33	train ppl: 36.579395625226454	val ppl: 163.93670210527875	best val: 152.96981339514736	time (s) spent in epoch: 79.4611279964447
epoch: 34	train ppl: 36.59299790376087	val ppl: 163.93670210527875	best val: 152.96981339514736	time (s) spent in epoch: 88.07984185218811
epoch: 35	train ppl: 36.62292738334506	val ppl: 163.93670210527875	best val: 152.96981339514736	time (s) spent in epoch: 80.67788934707642
epoch: 36	train ppl: 36.60763173267085	val ppl: 163.93670210527875	best val: 152.96981339514736	time (s) spent in epoch: 80.48996829986572
epoch: 37	train ppl: 36.58943061857065	val ppl: 163.93670210527875	best val: 152.96981339514736	time (s) spent in epoch: 80.223961353302
epoch: 38	train ppl: 36.60558271986917	val ppl: 163.93670210527875	best val: 152.96981339514736	time (s) spent in epoch: 85.53714084625244
epoch: 39	train ppl: 36.63598499562515	val ppl: 163.93670210527875	best val: 152.96981339514736	time (s) spent in epoch: 81.53180742263794
